Key,Participant_ID,Start_ms,End_ms,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion
2Item6,17,1676289641328.2751,1676289650349.0137,0.5851849681127975,1082.0,84.97256800382044
2Item7,17,1676289651223.735,1676289665399.282,0.5511499547313621,1701.0,91.23059021189172
2Item8,17,1676289666442.6165,1676289671838.1863,0.5460398937856211,647.0,140.8832023261539
2Item9,17,1676289673058.5437,1676289698812.2756,0.50604125087701,3090.0,138.01869777990373
2Item10,17,1676289699914.4443,1676289708171.8413,0.5770422495698592,991.0,122.44568898362044
3spl1,17,1676289777780.0957,1676289782419.4324,0.4838379563720265,557.0,214.9399909358283
3spl2,17,1676289782443.9385,1676289785540.6477,0.572540775422127,372.0,238.853080060674
3Item15,17,1676289785563.275,1676289792020.445,0.5175575108681956,775.0,195.23763688284416
3Item2,17,1676289792038.5066,1676289796246.327,0.602383815652073,505.0,259.98561792174297
3Item5,17,1676289796264.2146,1676289805131.0464,0.6061874246373423,1065.0,142.63300779240654
3Item12,17,1676289805152.8274,1676289809563.3145,0.6273950097240888,529.0,157.1516502987644
3Item6,17,1676289809582.8494,1676289813019.121,0.4733298773904448,412.0,156.61156723044508
3Item8,17,1676289813036.3586,1676289824331.5662,0.537436679401229,1356.0,133.12377562190005
3Item7,17,1676289824348.2344,1676289833987.4585,0.5812224484561535,1157.0,140.1762690946329
3Item9,17,1676289834007.8433,1676289845781.0083,0.6207348660889536,1413.0,145.9925097205706
3Item17,17,1676289845803.2637,1676289857949.9246,0.3924515304617793,1457.0,176.6028831946639
3Item19,17,1676289857973.6938,1676289873214.081,0.5261670003633411,1829.0,158.07497813560144
3Item11,17,1676289873237.8926,1676289883874.174,0.5938867137314476,1277.0,146.04497181999102
3Item4,17,1676289883903.1648,1676289889298.758,0.5434834751082055,648.0,194.45846685312804
3Item13,17,1676289889324.7363,1676289905123.1648,0.5242812522855992,1896.0,173.79899790610904
3Item10,17,1676289905123.1648,1676289906123.1648,0.4570272445678711,120.0,457.0451708954394
1spl1,18,1677069022504.6604,1677069035266.233,-0.9973530980999102,1532.0,38.06756143492176
1spl2,18,1677069035363.14,1677069040674.312,-0.9902314213002364,638.0,49.73134683035709
1Item1,18,1677069040691.8516,1677069050969.957,-0.9989896342702156,1233.0,52.45857156539432
1Item2,18,1677069050987.608,1677069062680.9402,-1.0,1403.0,138.74879086178512
1Item3,18,1677069062697.4397,1677069084191.4114,-0.9994598229418956,2587.0,465.212616981246
1Item4,18,1677069084211.671,1677069100733.6382,-1.0,1987.0,377.89365361845086
1Item5,18,1677069100751.8164,1677069122681.673,-1.0,2636.0,313.21970789470976
1Item6,18,1677069122699.4758,1677069159241.5935,-0.9989417880393552,4392.0,332.8133259440584
1Item7,18,1677069159258.1614,1677069182814.9536,-0.9990210167122764,2827.0,81.60583084933941
1Item8,18,1677069182830.9126,1677069223839.45,-0.9969336034223734,4922.0,123.74364902804676
1Item9,18,1677069223857.3645,1677069266239.2307,-0.9985288031705358,5087.0,130.50553857030656
1Item10,18,1677069266258.587,1677069305921.3203,-1.0,4762.0,174.24131400854253
2spl1,18,1677069442828.5918,1677069451552.549,-0.9985303933488252,1046.0,71.92793849607725
2spl2,18,1677069453275.0496,1677069461089.9695,-0.9903879307988864,938.0,281.0276760653721
2Item1,18,1677069463983.5964,1677069475334.021,-0.996581085272248,1363.0,76.58107025704382
2Item2,18,1677069477299.035,1677069483854.9802,-1.0,787.0,75.91326372255142
2Item3,18,1677069486467.6333,1677069499923.835,-0.9990903279924364,1617.0,448.83724357073714
2Item4,18,1677069501716.0522,1677069529704.0503,-0.9984867090279068,3365.0,439.3488697458154
2Item5,18,1677069531356.0234,1677069545532.2876,-1.0,1702.0,59.38161390762634
2Item6,18,1677069546759.8364,1677069593203.3147,-0.9991001238532392,5580.0,264.5112923479431
2Item7,18,1677069594809.969,1677069651287.4663,-0.9997939187696174,6795.0,471.8021584466071
2Item8,18,1677069653292.2344,1677069686304.1472,-0.9959896798991748,3963.0,78.33788488538345
2Item9,18,1677069687828.1252,1677069703038.5554,-0.999154795044814,1827.0,236.8647078303464
2Item10,18,1677069704698.392,1677069751519.6897,-0.999312949235665,5629.0,359.2355046804739
3spl1,18,1677069873403.9526,1677069878340.8823,-1.0,592.0,93.70302659111276
3spl2,18,1677069878356.087,1677069882640.243,-1.0,514.0,235.495490829153
3Item15,18,1677069882660.027,1677069893017.246,-1.0,1245.0,351.79993357304005
3Item2,18,1677069893033.6428,1677069897907.8865,-1.0,585.0,272.95798265789267
3Item5,18,1677069897924.62,1677069902354.507,-1.0,531.0,353.1656567080933
3Item12,18,1677069902371.4622,1677069914269.5383,-1.0,1428.0,324.36687858847193
3Item6,18,1677069914290.1814,1677069917879.6685,-1.0,430.0,322.34135663388736
3Item8,18,1677069917892.9194,1677069924537.5142,-1.0,797.0,384.2167012646368
3Item7,18,1677069924550.2964,1677069930718.702,-1.0,740.0,264.9107795391797
3Item9,18,1677069930736.5857,1677069938716.599,-1.0,959.0,358.0834493462109
3Item17,18,1677069938730.1538,1677069951020.071,-1.0,1476.0,153.2492422720942
3Item19,18,1677069951037.8777,1677069959814.6738,-1.0,1054.0,67.27895028087029
3Item11,18,1677069959832.2822,1677069969594.4668,-1.0,1172.0,283.2958679256079
3Item4,18,1677069969614.7112,1677069975300.855,-0.997550495197972,683.0,356.45027913839886
3Item13,18,1677069975311.0715,1677069981797.403,-1.0,778.0,56.37873604823504
3Item10,18,1677069981815.1765,1677069989210.8977,-1.0,889.0,527.4617723021573
3Item14,18,1677069989229.7437,1677069994782.7014,-1.0,667.0,162.36128673745353
3Item3,18,1677069994794.8442,1677069998866.1204,-0.9947280260981346,490.0,343.8380670092636
3Item20,18,1677069998878.0718,1677070002273.021,-1.0,407.0,273.7408518762816
1spl1,19,1676465712347.0234,1676465722631.9014,0.3376265700477835,1234.0,153.3683001413937
1spl2,19,1676465722701.5117,1676465729921.1985,0.4549509185015742,866.0,124.55221231535045
1Item1,19,1676465729945.372,1676465738311.4946,0.4056225430917929,1004.0,111.864020011682
1Item2,19,1676465738329.3755,1676465748457.3125,0.4436322938267586,1215.0,82.17245142063857
1Item3,19,1676465748475.0596,1676465771121.6616,0.3399185641179595,2717.0,129.38069317153668
1Item4,19,1676465771140.0305,1676465801402.0764,0.4149897666517219,3631.0,86.06551118554671
1Item5,19,1676465801420.6409,1676465847790.6572,0.3694959087906597,5564.0,91.3393593167094
1Item6,19,1676465847811.5632,1676465905481.6946,0.3855452408698955,6921.0,114.45431692566224
1Item7,19,1676465905498.103,1676465925424.7583,0.1417062698026307,2393.0,434.6696988544962
1Item8,19,1676465925443.6626,1676465975836.1765,0.3534041111856053,6047.0,105.11297301630852
1Item9,19,1676465975853.377,1676466000866.8489,0.3303251704877412,3002.0,100.21216658461807
1Item10,19,1676466000866.8489,1676466029866.8489,0.3959794976245397,3480.0,65.42483617567989
