Key,Participant_ID,Start_ms,End_ms,gsr_mean,gsr_max,gsr_std,gsr_peak_count
2Item1,11,1676894329642.1345,1676894332982.0024,8.346767368552511,8.47723704866562,0.0984864880995119,88.0
2Item2,11,1676894334463.1223,1676894343434.4634,8.740916923607012,9.05923344947735,0.1783355003003664,233.0
2Item3,11,1676894344597.9905,1676894349090.141,8.948978204545543,9.100075302165894,0.1072315443820954,118.0
2Item4,11,1676894350230.5293,1676894358819.3147,9.1107498773004,9.345126418297149,0.1594148151598391,237.0
2Item5,11,1676894365224.865,1676894398034.9211,8.264129192706013,8.793761407001824,0.3060766184953285,1014.0
2Item6,11,1676894401553.3457,1676894434576.2195,7.579630569222119,8.196449311431891,0.2966034086328335,953.0
2Item7,11,1676894435784.18,1676894507713.155,6.790599282450467,7.645084300136563,0.3506873853518567,2100.0
2Item8,11,1676894510187.6023,1676894555180.9785,6.275806049769904,6.634248446095136,0.2259393178762229,1305.0
2Item9,11,1676894556801.603,1676894568059.0425,6.76617669994801,6.863983867468187,0.062366347838777,311.0
2Item10,11,1676894569522.0933,1676894585967.1487,6.651902118643823,6.8741943306403215,0.1095923004626175,460.0
3spl1,11,1676894664643.8662,1676894668174.9294,6.677993052141243,6.705721688300085,0.0111541497891165,100.0
3spl2,11,1676894668210.5874,1676894672678.8037,6.96827518055071,7.109034983599443,0.135096408798745,100.0
3Item15,11,1676894672720.518,1676894686784.2236,7.211094235484478,7.435769805107783,0.1198408874543179,413.0
3Item2,11,1676894686819.5967,1676894689191.489,7.116060995386208,7.18561345739046,0.0421409337308393,70.0
3Item5,11,1676894689234.1553,1676894692904.8606,7.094772921743045,7.18561345739046,0.0466361495270296,103.0
3Item12,11,1676894692939.783,1676894697359.8772,6.961298962136183,7.0222460466362895,0.0355696077540927,133.0
3Item6,11,1676894697381.251,1676894699669.725,6.858007435952757,6.889510025398527,0.0121998002750821,63.0
3Item8,11,1676894699699.3142,1676894711106.937,6.777918259004909,6.889510025398527,0.0719566136162893,328.0
3Item7,11,1676894711138.7249,1676894719345.3865,6.646291930512936,6.69551122512795,0.0245560982365475,211.0
3Item9,11,1676894719377.139,1676894722500.211,6.596125129226173,6.634248446095136,0.0119046486924471,76.0
3Item17,11,1676894722538.1277,1676894729065.4932,6.581447511990606,6.659774604025475,0.0440901646572969,190.0
3Item19,11,1676894729113.44,1676894748835.5789,6.273008324686662,6.511722888029507,0.140101973279879,571.0
3Item11,11,1676894748875.2656,1676894764191.328,6.097029614771205,6.220724687623641,0.0869048392453634,426.0
3Item4,11,1676894764224.5718,1676894768938.149,6.250678766150188,6.322829319344998,0.0494722907348207,128.0
3Item13,11,1676894768964.117,1676894775262.011,6.615968423319214,6.838457709537848,0.1864193855518629,140.0
3Item10,11,1676894775294.5996,1676894778115.7678,6.849955087043313,6.869089099054254,0.0090850690137766,95.0
3Item14,11,1676894778145.7305,1676894785348.8115,7.6388993286814255,8.206659774604026,0.5407001796568365,163.0
3Item3,11,1676894785385.601,1676894789570.037,8.107412548621138,8.28834347998111,0.1258579041912545,107.0
3Item20,11,1676894789605.494,1676894792035.5198,8.416696553201252,8.599762606731247,0.1450570370096525,58.0
3Item18,11,1676894792068.188,1676894792607.7334,8.574088471073773,8.599762606731247,0.011448200670379,19.0
1spl1,12,1675773300294.364,1675773303306.58,20.33498366120967,20.428990578244296,0.0360581612928821,74.0
1spl2,12,1675773303471.895,1675773316627.8044,20.661074743394728,20.93925974522989,0.1755960090824131,341.0
1Item1,12,1675773316656.611,1675773324247.8154,20.38215590822924,20.501886173527964,0.0545126952368162,199.0
1Item2,12,1675773324292.106,1675773333821.2578,20.221536884125577,20.319647185318825,0.0344039216982355,230.0
1Item3,12,1675773333854.858,1675773349135.0168,20.155743898990853,20.283199387676994,0.0695026886583506,388.0
1Item4,12,1675773349163.0198,1675773360870.1262,19.928210490751585,20.028064804184208,0.041023505024095,302.0
1Item5,12,1675773360905.35,1675773382280.718,19.72212177763369,19.882273613616896,0.075266658544582,534.0
1Item6,12,1675773382320.9734,1675773393095.8752,19.671542438418715,19.772930220691407,0.0293785834504034,267.0
1Item7,12,1675773393126.2993,1675773403762.2185,19.567205032238423,19.66358682776593,0.0293165888822489,267.0
